item,beauty_mean,Theme,Category,Valence_mean,Arousal_mean,beauty_SD,N,subset,women_beauty_mean,men_beauty_mean,gender_diff_beauty,,
1,4.86,Acorns1,Object,4.69,2.35,1.479892638,140,subset2,4.8125,4.907895,-0.095395,,
2,4.20,Acorns2,Object,4.52,2.23,1.443968424,104,subset4,4.592593,4.78,-0.187407,,
3,5.16,Acorns3,Object,4.75,2.31,1.373372102,368,subset1,5.708791,5.994565,-0.285774,,
4,3.48,Alcohol1,Object,4.69,2.87,1.131023678,145,subset3,4.60989,4.315217,0.294673,,
5,4.30,Alcohol2,Object,4.25,3.00,1.677259714,104,subset4,4.314815,4.04,0.274815,,
6,4.45,Alcohol3,Object,4.17,2.35,1.594162943,104,subset4,4.740741,4.68,0.060741,,
7,5.05,Alcohol4,Object,4.77,2.87,1.49195211,368,subset1,3.820896,4.402597,-0.581701,,
8,5.19,Alcohol5,Object,5.33,3.55,1.220749723,145,subset3,3.65625,4.223684,-0.567434,,
9,4.41,Alcohol6,Object,4.54,2.64,1.511191756,104,subset4,3.925373,3.766234,0.159139,,
10,4.68,Alcohol7,Object,4.48,3.13,1.469855175,104,subset4,3.859375,3.947368,-0.087993,,
11,5.41,Alcohol8,Object,5.48,3.80,1.404642628,104,subset4,3.656716,3.519481,0.137235,,
12,3.37,Ambulance1,Object,2.33,4.16,1.808623854,140,subset2,4.044776,4.233766,-0.18899,,
13,2.88,Ambulance2,Object,3.18,3.41,1.4417608,140,subset2,5.074074,5.78,-0.705926,,
14,3.33,Ambulance3,Object,3.29,3.61,1.676939904,140,subset2,3.492537,3.805195,-0.312658,,
15,3.39,Angryface1,Person,3.38,3.26,1.697618373,104,subset4,3.549451,3.755435,-0.205984,,
16,2.88,Angryface2,Person,3.08,3.53,1.511063237,368,subset1,5.21875,5.526316,-0.307566,,
17,2.21,Angryface3,Person,2.50,3.66,1.462416151,368,subset1,4.759259,5.1,-0.340741,,
18,2.08,Angryface4,Person,2.49,3.87,1.439763456,140,subset2,5.104478,5.194805,-0.090327,,
19,3.01,Angryface5,Person,2.85,3.55,1.584130722,368,subset1,4.166667,4.42,-0.253333,,
20,2.59,Angrypose1,Person,2.81,3.62,1.325479744,145,subset3,2.4375,2.026316,0.411184,,6
21,4.03,Angrypose2,Person,2.81,3.72,1.816971682,368,subset1,1.970149,1.818182,0.151967,,
22,2.49,Animalcarcass1,Animal,2.72,3.77,1.59041068,145,subset3,4.277778,4.76,-0.482222,,
23,2.48,Animalcarcass2,Animal,3.25,4.03,1.323418597,145,subset3,2.029851,1.87013,0.159721,,
24,3.39,Animalcarcass3,Animal,2.75,4.42,1.845583914,104,subset4,3.546875,3.223684,0.323191,,
25,4.51,Animalcarcass4,Animal,3.79,4.20,1.721760491,368,subset1,2.484375,1.75,0.734375,,
26,1.98,Animalcarcass5,Animal,1.62,4.48,1.414081535,104,subset4,2.537037,2.2,0.337037,,
27,2.49,Animalcarcass6,Animal,2.40,4.72,1.641972228,145,subset3,2.62963,2.2,0.42963,,
28,4.16,Archery1,Person,4.29,3.75,1.673634859,145,subset3,4.046875,3.447368,0.599507,,
29,3.57,Archery2,Person,4.81,3.46,1.427628315,145,subset3,3.833333,2.88,0.953333,,
30,5.74,Astronaut1,Person,5.71,4.57,1.494294601,104,subset4,4.016484,3.853261,0.163223,,
31,4.20,Astronaut2,Person,5.14,3.67,1.470085399,140,subset2,3.552239,3.844156,-0.291917,,
32,5.38,Baby1,Person,6.18,4.09,1.608881251,104,subset4,3.328125,3.342105,-0.01398,,
33,5.45,Baby2,Person,6.03,3.66,1.405666846,140,subset2,3.259259,3.04,0.219259,,
34,5.53,Baby3,Person,5.84,4.12,1.434993056,368,subset1,2.238806,2.12987,0.108936,,
35,5.47,Baby4,Person,5.92,4.27,1.533523976,140,subset2,2.984375,2.789474,0.194901,,
36,5.29,Baby5,Person,6.14,3.72,1.420739063,140,subset2,5.686567,5.792208,-0.105641,,
37,5.45,Baby6,Person,6.05,3.65,1.518826696,140,subset2,5.203125,5.421053,-0.217928,,
38,3.81,Baby7,Person,2.97,4.25,1.707077916,104,subset4,5.641791,6.194805,-0.553014,,
39,5.43,Baby8,Person,6.10,3.92,1.532839105,368,subset1,5.611111,5.72,-0.108889,,
40,5.38,Baby9,Person,5.85,3.64,1.416591599,140,subset2,5.53125,6.144737,-0.613487,,
41,5.75,Baby10,Person,5.42,3.89,1.175744649,145,subset3,4.666667,5.06,-0.393333,,
42,4.26,Band1,Person,4.87,3.01,1.394258434,368,subset1,4.171875,3.815789,0.356086,,
43,4.47,Band2,Person,5.16,3.84,1.58305766,368,subset1,4.917582,5.23913,-0.321548,,
44,4.60,Bar1,Scene,4.90,3.46,1.475200255,368,subset1,4.774725,5,-0.225275,,
45,4.45,Bar2,Scene,4.75,3.79,1.667829331,140,subset2,4.921875,5.394737,-0.472862,,
46,3.93,Bar3,Scene,4.49,3.26,1.460855782,145,subset3,3.296875,3.355263,-0.058388,,
47,3.63,Barbeque1,Person,4.72,3.08,1.570148035,140,subset2,4.925373,5.25974,-0.334367,,
48,4.01,Barbeque2,Person,5.15,3.13,1.665476612,368,subset1,5.140625,5.578947,-0.438322,,
49,4.04,Bark1,Object,4.04,2.07,1.494786598,145,subset3,4.967033,5.304348,-0.337315,,
50,4.07,Bark2,Object,4.26,2.12,1.598844136,368,subset1,4.6875,5.223684,-0.536184,,
51,4.38,Bark3,Object,4.63,2.09,1.514761216,140,subset2,3.978022,3.994565,-0.016543,,
52,4.35,Bark4,Object,4.24,2.24,1.469745984,145,subset3,5.140625,5.381579,-0.240954,,
53,4.39,Bark5,Object,4.20,2.06,1.535459637,104,subset4,5.253731,5.558442,-0.304711,,
54,4.23,Bark6,Object,4.26,2.20,1.54921628,368,subset1,5.507463,5.519481,-0.012018,,
55,4.63,Barrels1,Object,4.21,2.47,1.533999785,104,subset4,4.296875,4.302632,-0.005757,,
56,3.46,BDSM1,Person,4.33,4.55,1.683336178,145,subset3,4.791045,4.61039,0.180655,,
57,3.33,BDSM2,Person,3.93,4.30,1.650148025,145,subset3,3.537037,3.24,0.297037,,
58,3.14,BDSM3,Person,3.95,4.22,1.770405413,104,subset4,4.238806,4.61039,-0.371584,,
59,6.43,Beach1,Scene,6.37,4.74,1.012044325,145,subset3,5.425926,4.3,1.125926,,
60,6.50,Beach2,Scene,6.32,4.14,0.933770422,368,subset1,4.765625,4.473684,0.291941,,
61,5.82,Beach3,Scene,5.51,3.81,1.188655299,104,subset4,4.059701,4.233766,-0.174065,,
62,5.44,Beach4,Scene,5.93,3.63,1.384449683,140,subset2,3.578125,3.565789,0.012336,,
63,5.45,Beach5,Scene,5.59,3.36,1.173161091,104,subset4,3.895522,4.155844,-0.260322,,
64,5.27,Beach6,Scene,6.06,3.89,1.220514307,145,subset3,4.62963,5.08,-0.45037,,
65,5.69,Beach7,Scene,6.07,4.31,1.216767912,140,subset2,4.552239,5.25974,-0.707501,,
66,5.74,Beach8,Scene,5.85,3.89,1.277096162,104,subset4,5.402985,5.701299,-0.298314,,
67,5.29,Bear1,Animal,5.15,3.34,1.058237011,104,subset4,5.149254,5.532468,-0.383214,,
68,5.43,Bear2,Animal,4.42,3.78,1.206146455,145,subset3,3.038462,2.717391,0.321071,,
69,5.69,Bear3,Animal,5.47,4.32,1.21541014,104,subset4,5.119403,5.623377,-0.503974,,
70,3.46,Bed1,Object,4.02,2.99,1.615209885,368,subset1,4.631868,4.630435,0.001433,,
71,4.54,Bee1,Animal,3.65,3.62,1.763468489,368,subset1,3.888889,4.1,-0.211111,,
72,4.38,Biking1,Person,5.09,3.57,1.533999785,104,subset4,4.953125,5.394737,-0.441612,,
73,4.30,Billiards1,Object,4.52,2.57,1.458329228,145,subset3,4.277778,4.72,-0.442222,,
74,5.99,Bird1,Animal,5.91,3.01,1.217295707,140,subset2,5.125,5.302632,-0.177632,,
75,5.73,Bird2,Animal,5.48,3.70,1.237363566,368,subset1,2.515625,1.868421,0.647204,,
76,5.66,Bird3,Animal,6.04,3.43,1.195881552,368,subset1,2.546875,1.868421,0.678454,,
77,5.79,Bird4,Animal,5.55,3.57,1.148045148,145,subset3,3.225275,3.298913,-0.073638,,
78,4.65,Bird5,Animal,4.47,4.45,1.486307935,104,subset4,2.685185,2.18,0.505185,,
79,5.10,Birthday1,Scene,5.78,3.46,1.304667879,140,subset2,2.17033,2.228261,-0.057931,,
80,4.29,Birthday2,Person,5.33,3.38,1.682909358,145,subset3,5.018519,5.5,-0.481481,,
81,4.99,Birthday3,Scene,5.57,3.43,1.285529543,145,subset3,4.917582,5.027174,-0.109592,,
82,2.89,Bloodyknife1,Object,1.84,4.54,1.912861138,368,subset1,4.507463,4.766234,-0.258771,,
83,2.32,Bloodyknife2,Object,2.26,3.90,1.55851776,368,subset1,5.055556,5.78,-0.724444,,
84,5.46,Boat1,Object,4.57,2.80,1.2077337,145,subset3,4.074074,4.16,-0.085926,,
85,2.26,Boredface1,Person,3.65,2.38,1.267244869,140,subset2,5.925926,6.48,-0.554074,,
86,3.25,Boredpose1,Person,3.56,2.92,1.541395238,140,subset2,4.93956,5.233696,-0.294136,,
87,2.66,Boredpose2,Person,3.19,2.74,1.376110222,140,subset2,5.685185,6.3,-0.614815,,
88,3.03,Boredpose3,Person,3.09,2.71,1.554553167,104,subset4,4.417582,4.722826,-0.305244,,
89,3.06,Boredpose4,Person,3.13,3.02,1.43749063,145,subset3,4.120879,4.233696,-0.112817,,
90,3.80,Boredpose5,Person,3.80,3.04,1.320774184,145,subset3,2.125,2.039474,0.085526,,
91,4.75,Boredpose6,Person,4.56,3.39,1.540550876,368,subset1,3.611111,3.18,0.431111,,
92,3.16,Bottle1,Object,4.18,2.16,1.566789846,140,subset2,3.38806,3.181818,0.206242,,
93,3.37,Boxing1,Person,3.74,3.89,1.494498212,145,subset3,3.185185,3.16,0.025185,,
94,3.90,Boxing2,Person,3.70,4.20,1.657678246,368,subset1,4.445055,5.032609,-0.587554,,
95,3.79,Bricks1,Object,4.16,1.81,1.555903739,104,subset4,5.268657,5.571429,-0.302772,,
96,6.14,Bridge1,Scene,5.89,3.55,1.068761949,368,subset1,5.298507,5.584416,-0.285909,,
97,4.94,Bubble1,Object,4.79,3.08,1.63685395,140,subset2,5.333333,5.76,-0.426667,,
98,5.17,Bubble2,Object,5.00,3.04,1.148754114,145,subset3,4.759259,5.12,-0.360741,,
99,5.46,Building1,Scene,5.04,3.20,1.305061693,140,subset2,5.131868,5.103261,0.028607,,
100,5.85,Building2,Scene,4.80,3.17,1.179733369,368,subset1,5.166667,5.6,-0.433333,,
101,4.47,Bungeejumping1,Person,4.20,4.56,1.548145322,368,subset1,2.873626,3.119565,-0.245939,,
102,4.18,Bungeejumping2,Person,4.76,4.65,1.56269883,104,subset4,4.703297,4.918478,-0.215181,,
103,4.71,Bungeejumping3,Person,5.11,4.36,1.530740521,104,subset4,5.43956,5.836957,-0.397397,,
104,4.11,Camping1,Person,5.60,3.25,1.491258051,145,subset3,3.75,3.684211,0.065789,,
105,3.96,Camping2,Person,4.96,3.18,1.471116222,140,subset2,5.037037,4.88,0.157037,,
106,3.83,Camping3,Person,5.02,2.98,1.4044265,145,subset3,4.521978,5.01087,-0.488892,,
107,3.91,Camping4,Person,5.66,3.23,1.544991577,140,subset2,3.61194,4.051948,-0.440008,,
108,3.57,Camping6,Person,3.88,3.14,1.526678462,145,subset3,3.518519,3,0.518519,,
109,4.13,Camping7,Person,5.22,2.98,1.385716684,145,subset3,4.703704,4.96,-0.256296,,
110,3.64,Camping8,Person,3.56,3.73,1.493857154,145,subset3,4.247253,4.461957,-0.214704,,
111,3.66,Camping9,Person,3.99,3.50,1.540425908,368,subset1,5.134328,5.467532,-0.333204,,
112,5.39,Camping10,Scene,4.94,3.77,1.295180409,140,subset2,4.296296,4.1,0.196296,,
113,4.92,Candle1,Object,5.05,3.31,1.51812549,104,subset4,2.58209,2.584416,-0.002326,,
114,5.12,Car1,Object,5.23,4.33,1.504081293,145,subset3,5.208791,5.565217,-0.356426,,
115,4.29,Car2,Object,3.92,2.87,1.568333956,104,subset4,3.962963,4.62,-0.657037,,
116,2.21,Caraccident1,Object,2.15,4.10,1.312834893,140,subset2,4.895522,5.181818,-0.286296,,
117,1.90,Caraccident2,Object,1.97,4.09,1.168594466,145,subset3,4.592593,5.12,-0.527407,,
118,4.51,Caraccident3,Object,2.68,4.50,1.800729045,104,subset4,5.125,5.5,-0.375,,
119,1.94,Caraccident4,Object,2.03,3.96,1.07510135,145,subset3,4.907407,5.06,-0.152593,,
120,2.09,Carcrash1,Scene,1.85,4.55,1.396221593,140,subset2,4.736264,4.820652,-0.084388,,
121,2.38,Carcrash2,Scene,1.99,4.21,1.435929387,104,subset4,5.456044,5.755435,-0.299391,,
122,2.42,Carcrash3,Scene,2.03,4.66,1.452766412,104,subset4,1.752747,1.717391,0.035356,,
